1box,1sub,2box,2sub,3box,3sub,4box,4sub,prob,prob_t
0000,0000,0000,0000,0000,0000,4444,0f00,10,4
0000,0000,0000,0000,0000,0000,4454,0f02,20,5
0000,0000,0000,0000,0000,0000,0f09,5445,40,6
0000,0000,0000,0000,0000,0000,544b,1e19,80,7
0000,0000,0000,0000,0000,0000,1e1f,555b,100,8
0000,0000,0000,0000,0000,0000,4474,0f22,80,6
0000,0000,0000,0000,0000,0000,0f29,5465,100,7
0000,0000,0000,0000,0000,0000,546b,1e39,200,8
0000,0000,0000,0000,0000,0000,1e3f,557b,400,9
0000,0000,0000,0000,0000,0000,4484,2d00,100,7
0000,0000,0000,0000,0000,0000,44b4,2d22,400,8
0000,0000,0000,0000,0000,0000,2d29,54a5,800,9
0000,0000,0000,0000,0000,0000,54ab,3c39,1000,a
0000,0000,0000,0000,0000,0000,3c3f,55bb,2000,b
0000,0000,0000,0000,0000,0000,44e4,2f20,800,9
0000,0000,0000,0000,0000,0000,44f4,2f22,3000,a
0000,0000,0000,0000,0000,0000,2f29,54e5,6000,b
0000,0000,0000,0000,0000,0000,54eb,3e39,c000,c
0000,0000,0000,0000,0000,0000,3e3f,55fb,18000,d
0000,0000,0000,0000,0000,0000,4544,0f04,20,5
0000,0000,0000,0000,0000,0000,0f05,4545,40,6
0000,0000,0000,0000,0000,0000,4547,0f15,100,7
0000,0000,0000,0000,0000,0000,0f18,5446,200,8
0000,0000,0000,0000,0000,0000,544a,1e18,400,9
0000,0000,0000,0000,0000,0000,1e1b,545b,1000,a
0000,0000,0000,0000,0000,0000,545e,1f1a,2000,b
0000,0000,0000,0000,0000,0000,4554,0f06,40,6
0000,0000,0000,0000,0000,0000,0f07,4555,80,7
0000,0000,0000,0000,0000,0000,4558,1e06,100,8
0000,0000,0000,0000,0000,0000,1e0a,5458,200,9
0000,0000,0000,0000,0000,0000,545b,1e1b,800,a
0000,0000,0000,0000,0000,0000,1e1e,555a,1000,b
0000,0000,0000,0000,0000,0000,4574,0f26,100,7
0000,0000,0000,0000,0000,0000,0f27,4575,200,8
0000,0000,0000,0000,0000,0000,4578,1e26,400,9
0000,0000,0000,0000,0000,0000,1e2a,5478,800,a
0000,0000,0000,0000,0000,0000,547b,1e3b,2000,b
0000,0000,0000,0000,0000,0000,1e3e,557a,4000,c
0000,0000,0000,0000,0000,0000,4584,2d04,200,8
0000,0000,0000,0000,0000,0000,2d05,4585,400,9
0000,0000,0000,0000,0000,0000,4587,2d15,1000,a
0000,0000,0000,0000,0000,0000,2d18,5486,2000,b
0000,0000,0000,0000,0000,0000,548a,3c18,4000,c
0000,0000,0000,0000,0000,0000,3c1b,549b,10000,d
0000,0000,0000,0000,0000,0000,549e,3d1a,20000,e
0000,0000,0000,0000,0000,0000,45b4,2d26,800,9
0000,0000,0000,0000,0000,0000,2d27,45b5,1000,a
0000,0000,0000,0000,0000,0000,45b8,3c26,2000,b
0000,0000,0000,0000,0000,0000,3c2a,54b8,4000,c
0000,0000,0000,0000,0000,0000,54bb,3c3b,10000,d
0000,0000,0000,0000,0000,0000,3c3e,55ba,20000,e
0000,0000,0000,0000,0000,0000,45e4,2f24,1000,a
0000,0000,0000,0000,0000,0000,2f25,45e5,2000,b
0000,0000,0000,0000,0000,0000,45e7,2f35,8000,c
0000,0000,0000,0000,0000,0000,2f38,54e6,10000,d
0000,0000,0000,0000,0000,0000,54ea,3e38,20000,e
0000,0000,0000,0000,0000,0000,3e3b,54fb,80000,f
0000,0000,0000,0000,0000,0000,54fe,3f3a,100000,10
0000,0000,0000,0000,0000,0000,45f4,2f26,6000,b
0000,0000,0000,0000,0000,0000,2f27,45f5,c000,c
0000,0000,0000,0000,0000,0000,45f8,3e26,18000,d
0000,0000,0000,0000,0000,0000,3e2a,54f8,30000,e
0000,0000,0000,0000,0000,0000,54fb,3e3b,c0000,f
0000,0000,0000,0000,0000,0000,3e3e,55fa,180000,10
0000,0000,0000,0000,0000,0000,4744,0f44,80,6
0000,0000,0000,0000,0000,0000,0f45,4745,100,7
0000,0000,0000,0000,0000,0000,4747,0f55,400,8
0000,0000,0000,0000,0000,0000,0f58,5646,800,9
0000,0000,0000,0000,0000,0000,564a,1e58,1000,a
0000,0000,0000,0000,0000,0000,1e5b,565b,4000,b
0000,0000,0000,0000,0000,0000,565e,1f5a,8000,c
0000,0000,0000,0000,0000,0000,4754,0f46,100,7
0000,0000,0000,0000,0000,0000,0f47,4755,200,8
0000,0000,0000,0000,0000,0000,4758,1e46,400,9
0000,0000,0000,0000,0000,0000,1e4a,5658,800,a
0000,0000,0000,0000,0000,0000,565b,1e5b,2000,b
0000,0000,0000,0000,0000,0000,1e5e,575a,4000,c
0000,0000,0000,0000,0000,0000,4774,0f66,400,8
0000,0000,0000,0000,0000,0000,0f67,4775,800,9
0000,0000,0000,0000,0000,0000,4778,1e66,1000,a
0000,0000,0000,0000,0000,0000,1e6a,5678,2000,b
0000,0000,0000,0000,0000,0000,567b,1e7b,8000,c
